[Fri Sep 10 21:34:09.890955 2021] [:error] [pid 22905] [client 192.168.1.2:55414] PHP Warning:  session_start(): open(/var/www/session/sess_f8nmcqn6ttnp7lfsmvoue0blu6, O_RDWR) failed: Permission denied (13) in /var/www/pyramids.local/html/administrator/index.php on line 2, referer: http://pyramids.local/administrator/
[Fri Sep 10 21:45:37.952921 2021] [:error] [pid 22918] [client 192.168.1.2:59780] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/
[Fri Sep 10 21:47:56.471411 2021] [:error] [pid 22919] [client 192.168.1.2:52654] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php
[Fri Sep 10 21:47:58.128381 2021] [:error] [pid 22919] [client 192.168.1.2:52654] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:03.440218 2021] [:error] [pid 22903] [client 192.168.1.2:56617] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:03.530176 2021] [:error] [pid 22901] [client 192.168.1.2:52234] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:03.609696 2021] [:error] [pid 22903] [client 192.168.1.2:56617] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:03.683979 2021] [:error] [pid 22901] [client 192.168.1.2:52234] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:03.718700 2021] [:error] [pid 22903] [client 192.168.1.2:56617] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:05.554564 2021] [:error] [pid 22903] [client 192.168.1.2:56617] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:07.527092 2021] [:error] [pid 22905] [client 192.168.1.2:64696] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:11.050720 2021] [:error] [pid 22905] [client 192.168.1.2:64696] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:12.172604 2021] [:error] [pid 22905] [client 192.168.1.2:64696] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:17.838770 2021] [:error] [pid 22904] [client 192.168.1.2:64967] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:34.927452 2021] [:error] [pid 22902] [client 192.168.1.2:51495] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:38.848783 2021] [:error] [pid 22902] [client 192.168.1.2:51495] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/log.php
[Fri Sep 10 21:54:39.613906 2021] [:error] [pid 22902] [client 192.168.1.2:51495] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:45.300944 2021] [:error] [pid 22918] [client 192.168.1.2:59985] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/admin_index.php
[Fri Sep 10 21:54:45.993045 2021] [:error] [pid 22918] [client 192.168.1.2:59985] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/users.php
[Fri Sep 10 21:54:48.565497 2021] [:error] [pid 22918] [client 192.168.1.2:59985] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/users.php
[Sat Sep 11 07:35:46.302618 2021] [:error] [pid 1224] [client 192.168.1.10:50524] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2
[Sat Sep 11 07:35:46.526648 2021] [:error] [pid 1224] [client 192.168.1.10:50524] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2
[Sat Sep 11 07:40:32.275936 2021] [:error] [pid 1224] [client 192.168.1.10:56739] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/
[Sat Sep 11 07:40:32.367456 2021] [:error] [pid 1224] [client 192.168.1.10:56739] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/
[Sat Sep 11 07:40:35.484016 2021] [:error] [pid 1224] [client 192.168.1.10:56739] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php
[Sat Sep 11 07:40:35.577262 2021] [:error] [pid 1224] [client 192.168.1.10:56739] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php
[Sat Sep 11 07:40:53.714244 2021] [:error] [pid 1734] [client 192.168.1.10:61908] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=choose_client
[Sat Sep 11 07:40:54.417193 2021] [:error] [pid 1734] [client 192.168.1.10:61908] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:41:04.599582 2021] [:error] [pid 1223] [client 192.168.1.10:59156] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:41:04.889240 2021] [:error] [pid 1223] [client 192.168.1.10:59156] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:41:21.285900 2021] [:error] [pid 1735] [client 192.168.1.10:64526] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:41:27.724190 2021] [:error] [pid 1736] [client 192.168.1.10:64492] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:41:28.323140 2021] [:error] [pid 1736] [client 192.168.1.10:64492] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:41:30.004221 2021] [:error] [pid 1736] [client 192.168.1.10:64492] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:41:33.659182 2021] [:error] [pid 1736] [client 192.168.1.10:64492] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:41:48.844415 2021] [:error] [pid 1222] [client 192.168.1.10:64800] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:42:53.418096 2021] [:error] [pid 1735] [client 192.168.1.10:61511] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:42:53.642758 2021] [:error] [pid 1735] [client 192.168.1.10:61511] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:43:08.088437 2021] [:error] [pid 1736] [client 192.168.1.10:62690] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:43:13.648037 2021] [:error] [pid 1222] [client 192.168.1.10:50166] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:43:14.173748 2021] [:error] [pid 1222] [client 192.168.1.10:50166] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:43:15.562535 2021] [:error] [pid 1222] [client 192.168.1.10:50166] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:43:15.777143 2021] [:error] [pid 1222] [client 192.168.1.10:50166] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:45:34.809116 2021] [:error] [pid 1734] [client 192.168.1.10:55571] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:46:48.152090 2021] [:error] [pid 1736] [client 192.168.1.10:60169] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:46:49.022138 2021] [:error] [pid 1736] [client 192.168.1.10:60169] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:46:50.068075 2021] [:error] [pid 1736] [client 192.168.1.10:60169] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:46:50.220491 2021] [:error] [pid 1736] [client 192.168.1.10:60169] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:47:08.474446 2021] [:error] [pid 1222] [client 192.168.1.10:62254] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:47:13.303008 2021] [:error] [pid 1222] [client 192.168.1.10:62254] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:47:14.122029 2021] [:error] [pid 1222] [client 192.168.1.10:62254] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:47:46.455203 2021] [:error] [pid 1225] [client 192.168.1.10:58367] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:47:46.634855 2021] [:error] [pid 1225] [client 192.168.1.10:58367] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:47:57.417505 2021] [:error] [pid 1224] [client 192.168.1.10:57034] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:48:07.526346 2021] [:error] [pid 1733] [client 192.168.1.10:55650] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:48:09.300266 2021] [:error] [pid 1733] [client 192.168.1.10:55650] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:48:44.970106 2021] [:error] [pid 1735] [client 192.168.1.10:62598] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:48:45.242332 2021] [:error] [pid 1735] [client 192.168.1.10:62598] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:48:52.563602 2021] [:error] [pid 1736] [client 192.168.1.10:60291] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:48:54.051909 2021] [:error] [pid 1736] [client 192.168.1.10:60291] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:48:54.968796 2021] [:error] [pid 1736] [client 192.168.1.10:60291] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:48:55.873447 2021] [:error] [pid 1736] [client 192.168.1.10:60291] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:49:01.765713 2021] [:error] [pid 1736] [client 192.168.1.10:60291] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:49:01.868158 2021] [:error] [pid 1736] [client 192.168.1.10:60291] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/accounts.php
[Sat Sep 11 07:49:05.938625 2021] [:error] [pid 1736] [client 192.168.1.10:60291] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=choose_client
[Sat Sep 11 07:49:06.085510 2021] [:error] [pid 1736] [client 192.168.1.10:60291] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=choose_client
[Sat Sep 11 07:49:35.685588 2021] [:error] [pid 1225] [client 192.168.1.10:62660] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 07:50:16.332544 2021] [:error] [pid 1730] [client 192.168.1.10:64690] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 07:50:17.467178 2021] [:error] [pid 1730] [client 192.168.1.10:64690] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:50:27.366670 2021] [:error] [pid 1224] [client 192.168.1.10:65469] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:50:27.486760 2021] [:error] [pid 1224] [client 192.168.1.10:65469] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:50:28.180725 2021] [:error] [pid 1224] [client 192.168.1.10:65469] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:50:54.649891 2021] [:error] [pid 1733] [client 192.168.1.10:53108] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:50:54.757704 2021] [:error] [pid 1733] [client 192.168.1.10:53108] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:50:55.318428 2021] [:error] [pid 1734] [client 192.168.1.10:61402] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:51:03.217780 2021] [:error] [pid 1223] [client 192.168.1.10:51123] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:51:03.319638 2021] [:error] [pid 1223] [client 192.168.1.10:51123] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:51:04.041606 2021] [:error] [pid 1223] [client 192.168.1.10:51123] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:53:06.126442 2021] [:error] [pid 1225] [client 192.168.1.10:62631] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:53:06.871974 2021] [:error] [pid 1225] [client 192.168.1.10:62631] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:53:25.785831 2021] [:error] [pid 1730] [client 192.168.1.10:58698] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 07:54:41.287838 2021] [:error] [pid 1224] [client 192.168.1.10:54171] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:54:41.375635 2021] [:error] [pid 1733] [client 192.168.1.10:53922] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:54:58.609772 2021] [:error] [pid 1734] [client 192.168.1.10:49733] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:54:59.496974 2021] [:error] [pid 1734] [client 192.168.1.10:49733] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=all
[Sat Sep 11 07:55:14.957494 2021] [:error] [pid 1223] [client 192.168.1.10:49740] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 07:57:55.408777 2021] [:error] [pid 1733] [client 192.168.1.10:54489] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 07:58:15.408721 2021] [:error] [pid 1734] [client 192.168.1.10:64870] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/pricing.php
[Sat Sep 11 07:58:16.206542 2021] [:error] [pid 1734] [client 192.168.1.10:64870] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=all
[Sat Sep 11 07:58:50.553416 2021] [:error] [pid 1223] [client 192.168.1.10:57617] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 08:00:11.539526 2021] [:error] [pid 1222] [client 192.168.1.10:57957] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 08:01:29.173316 2021] [:error] [pid 1730] [client 192.168.1.10:64708] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=choose_client
[Sat Sep 11 08:02:06.587806 2021] [:error] [pid 1224] [client 192.168.1.10:61613] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 08:04:17.675272 2021] [:error] [pid 1733] [client 192.168.1.10:57153] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=choose_client
[Sat Sep 11 08:04:44.579780 2021] [:error] [pid 1223] [client 192.168.1.10:65177] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 08:05:27.742527 2021] [:error] [pid 1736] [client 192.168.1.10:65243] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 08:06:45.228249 2021] [:error] [pid 1730] [client 192.168.1.10:53998] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 08:14:44.047453 2021] [:error] [pid 1225] [client 192.168.1.10:60314] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 08:14:47.047319 2021] [:error] [pid 1225] [client 192.168.1.10:60314] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/index.php?action=addorder&acctno=1&ser=2
[Sat Sep 11 08:14:47.864083 2021] [:error] [pid 1225] [client 192.168.1.10:60314] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=all
[Sat Sep 11 08:14:50.848053 2021] [:error] [pid 1225] [client 192.168.1.10:60314] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=all
[Sat Sep 11 08:14:58.543162 2021] [:error] [pid 1730] [client 192.168.1.10:64090] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=all
[Sat Sep 11 08:14:59.471412 2021] [:error] [pid 1730] [client 192.168.1.10:64090] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=edit_orders&id=1
[Sat Sep 11 08:15:24.064081 2021] [:error] [pid 1224] [client 192.168.1.10:55433] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=edit_orders&id=1
[Sat Sep 11 08:15:24.742615 2021] [:error] [pid 1224] [client 192.168.1.10:55433] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=edit_orders&id=1
[Sat Sep 11 08:15:25.780951 2021] [:error] [pid 1224] [client 192.168.1.10:55433] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=edit_orders&id=1
[Sat Sep 11 08:15:29.015222 2021] [:error] [pid 1224] [client 192.168.1.10:55433] PHP Notice:  A session had already been started - ignoring session_start() in /var/www/pyramids.local/html/setting.php on line 2, referer: http://pyramids.local/administrator/montior.php?action=edit_orders&id=1
